CountryName,CountryCode,IndicatorName,IndicatorCode,Year,Value
United States,USA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,1960,84.9872
United States,USA,Age dependency ratio (% of working-age population),SP.POP.DPND,1960,66.52484436091859
United States,USA,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,1960,15.2302639565011
United States,USA,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,1960,51.294580404417495
United States,USA,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,1960,1.26126148522724
United States,USA,Arms exports (SIPRI trend indicator values),MS.MIL.XPRT.KD,1960,5961000000.0
United States,USA,Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,1960,219000000.0
United States,USA,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,1960,23.7
United States,USA,Changes in inventories (current LCU),NE.GDI.STKB.CN,1960,3200000000.0
United States,USA,Changes in inventories (current US$),NE.GDI.STKB.CD,1960,3200000000.0
United States,USA,CO2 emissions (kg per 2005 US$ of GDP),EN.ATM.CO2E.KD.GD,1960,1.03339670327694
United States,USA,CO2 emissions (kt),EN.ATM.CO2E.KT,1960,2890696.1
United States,USA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1960,15.999779156588499
United States,USA,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,1960,27.713426340714197
United States,USA,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,1960,21.8127616389699
United States,USA,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,1960,630540.65
United States,USA,CO2 emissions from liquid fuel consumption (% of total),EN.ATM.CO2E.LF.ZS,1960,44.372700748446
United States,USA,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,1960,1282679.93
United States,USA,CO2 emissions from manufacturing industries and construction (% of total fuel combustion),EN.CO2.MANF.ZS,1960,27.3653597280885
United States,USA,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",EN.CO2.OTHX.ZS,1960,1.88930130693858
United States,USA,CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),EN.CO2.BLDG.ZS,1960,19.3840038681969
United States,USA,CO2 emissions from solid fuel consumption (% of total),EN.ATM.CO2E.SF.ZS,1960,31.781808955981198
United States,USA,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,1960,918715.512
United States,USA,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,1960,23.6475532232604
United States,USA,CO2 intensity (kg per kg of oil equivalent energy use),EN.ATM.CO2E.EG.ZS,1960,2.83596497084176
United States,USA,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,1960,3.17480629117575
